69, deaths, 1M_pop, 2714
69, deaths, total, 292
69, tests, 1M_pop, 1653068
69, tests, total, 177885
69, day, 2024-03-25
69, time, 2024-03-25T09:45:14+00:00
70, continent, Africa
70, country, Mauritius
70, population, 1274727
70, cases, new, None
70, cases, active, 696
70, cases, critical, None
70, cases, recovered, 41278
70, cases, 1M_pop, 33752
70, cases, total, 43025
70, deaths, new, None
70, deaths, 1M_pop, 824
70, deaths, total, 1051
70, tests, 1M_pop, 281374
70, tests, total, 358675
70, day, 2024-03-25
70, time, 2024-03-25T09:45:14+00:00
71, continent, Europe
71, country, Faeroe-Islands
71, population, 49233
71, cases, new, None
71, cases, active, None
71, cases, critical, None
71, cases, recovered, None
71, cases, 1M_pop, 703959
71, cases, total, 34658
71, deaths, new, None
71, deaths, 1M_pop, 569
